"YEAR","JURISDICTION","METRIC","Sum(FINES)","Sum(ARRESTS)","Sum(CHARGES)"
2016,"TAS","mobile_phone_use",3191,,
2016,"TAS","speed_fines",15977,,
2016,"VIC","mobile_phone_use",27925,,
2016,"VIC","speed_fines",1266642,,
2016,"WA","mobile_phone_use",14926,,
2016,"WA","speed_fines",567954,,
2017,"ACT","mobile_phone_use",1299,,
2017,"ACT","speed_fines",52913,,
2017,"NSW","mobile_phone_use",41020,,
2017,"NSW","non_wearing_seatbelts",22954,,
2017,"NSW","speed_fines",731953,,
2017,"NT","mobile_phone_use",546,,
2017,"NT","speed_fines",22556,,
2017,"QLD","mobile_phone_use",15043,,
2017,"QLD","speed_fines",733717,,
2017,"SA","mobile_phone_use",11252,,
2017,"SA","speed_fines",162804,,
2017,"TAS","mobile_phone_use",2738,,
2017,"TAS","speed_fines",13095,,
2017,"VIC","mobile_phone_use",29293,,
2017,"VIC","speed_fines",1220180,,
2017,"WA","mobile_phone_use",16718,,
2017,"WA","non_wearing_seatbelts",7309,,
2017,"WA","speed_fines",754183,,
2018,"ACT","mobile_phone_use",1399,,
2018,"ACT","non_wearing_seatbelts",197,,
2018,"ACT","speed_fines",66449,,
2018,"NSW","mobile_phone_use",37653,,
2018,"NSW","non_wearing_seatbelts",21553,,
2018,"NSW","speed_fines",681389,,
2018,"NT","mobile_phone_use",861,,
2018,"NT","non_wearing_seatbelts",2558,,
2018,"NT","speed_fines",37452,,
2018,"QLD","mobile_phone_use",12828,,
2018,"QLD","non_wearing_seatbelts",8789,,
2018,"QLD","speed_fines",1021423,,
2018,"SA","mobile_phone_use",8471,,
2018,"SA","non_wearing_seatbelts",4909,,
2018,"SA","speed_fines",174731,,
2018,"TAS","mobile_phone_use",2614,,
2018,"TAS","speed_fines",8609,,
2018,"VIC","mobile_phone_use",32458,,
2018,"VIC","non_wearing_seatbelts",13595,,
2018,"VIC","speed_fines",1600565,,
2018,"WA","mobile_phone_use",17697,,
2018,"WA","non_wearing_seatbelts",5953,,
2018,"WA","speed_fines",689198,,
2019,"ACT","mobile_phone_use",1098,,
2019,"ACT","non_wearing_seatbelts",174,,
2019,"ACT","speed_fines",59330,,
2019,"NSW","mobile_phone_use",25463,,
2019,"NSW","non_wearing_seatbelts",19355,,
2019,"NSW","speed_fines",658793,,
2019,"NT","mobile_phone_use",760,,
2019,"NT","non_wearing_seatbelts",3521,,
2019,"NT","speed_fines",39500,,
2019,"QLD","mobile_phone_use",11580,,
2019,"QLD","non_wearing_seatbelts",9009,,
2019,"QLD","speed_fines",1041780,,
2019,"SA","mobile_phone_use",7567,,
2019,"SA","non_wearing_seatbelts",4386,,
2019,"SA","speed_fines",202914,,
2019,"TAS","mobile_phone_use",2355,,
2019,"TAS","speed_fines",6738,,
2019,"VIC","mobile_phone_use",36694,,
2019,"VIC","non_wearing_seatbelts",11835,,
2019,"VIC","speed_fines",1004679,,
2019,"WA","mobile_phone_use",11850,,
2019,"WA","non_wearing_seatbelts",4469,,
2019,"WA","speed_fines",682996,,
2020,"ACT","mobile_phone_use",812,,
2020,"ACT","non_wearing_seatbelts",143,,
2020,"ACT","speed_fines",57612,,
2020,"NSW","mobile_phone_use",151725,,
2020,"NSW","non_wearing_seatbelts",11720,,
2020,"NSW","speed_fines",915316,,
2020,"NT","mobile_phone_use",380,,
2020,"NT","non_wearing_seatbelts",2111,,
2020,"NT","speed_fines",40921,,
2020,"QLD","mobile_phone_use",4823,,
2020,"QLD","non_wearing_seatbelts",6108,,
2020,"QLD","speed_fines",910858,,
2020,"SA","mobile_phone_use",6325,,
2020,"SA","non_wearing_seatbelts",3935,,
2020,"SA","speed_fines",175237,,
2020,"TAS","mobile_phone_use",1966,,
2020,"TAS","non_wearing_seatbelts",1332,,
2020,"TAS","speed_fines",40751,,
2020,"VIC","mobile_phone_use",21231,,
2020,"VIC","non_wearing_seatbelts",7757,,
2020,"VIC","speed_fines",937192,,
2020,"WA","mobile_phone_use",7889,,
2020,"WA","non_wearing_seatbelts",2804,,
2020,"WA","speed_fines",695586,,
2021,"ACT","mobile_phone_use",544,,
2021,"ACT","non_wearing_seatbelts",60,,
2021,"ACT","speed_fines",113807,,
2021,"NSW","mobile_phone_use",174082,,
2021,"NSW","non_wearing_seatbelts",9602,,
2021,"NSW","speed_fines",1452620,,
2021,"NT","mobile_phone_use",309,,
2021,"NT","non_wearing_seatbelts",1123,,
2021,"NT","speed_fines",38648,,
2021,"QLD","mobile_phone_use",18547,,
2021,"QLD","non_wearing_seatbelts",10397,,
2021,"QLD","speed_fines",978926,,
2021,"SA","mobile_phone_use",4799,,
2021,"SA","non_wearing_seatbelts",2684,,
2021,"SA","speed_fines",202693,,
2021,"TAS","mobile_phone_use",2328,,
2021,"TAS","non_wearing_seatbelts",1129,,
2021,"TAS","speed_fines",39228,,
2021,"VIC","mobile_phone_use",15562,,
2021,"VIC","non_wearing_seatbelts",6342,,
2021,"VIC","speed_fines",1231672,,
2021,"WA","mobile_phone_use",4909,,
2021,"WA","non_wearing_seatbelts",1856,,
2021,"WA","speed_fines",809544,,
2022,"ACT","mobile_phone_use",374,,
2022,"ACT","non_wearing_seatbelts",41,,
